time,06-navstatus [adim],05-course [deg],04-speed [knots],03-mslhr [m],02-ellihr [m],01-lonhr [deg],00-lathr [deg]
2025-09-23 23:46:00.000,1.0,79.718,3.08,-55.1712,8154544127193.507,-5.517122588,35.880473589
2025-09-23 23:46:00.500,1.0,79.862,3.066,-55.1711,8272348594117.87,-5.517113942,35.88047486
2025-09-23 23:46:01.000,1.0,80.008,3.051,-55.1711,8374301691940.652,-5.517105333,35.880476107
2025-09-23 23:46:01.500,1.0,80.156,3.037,-55.171,8458915157728.171,-5.517096762,35.880477331
2025-09-23 23:46:02.000,1.0,80.306,3.022,-55.1709,8524637288652.038,-5.517088228,35.880478531
2025-09-23 23:46:02.500,1.0,80.457,3.007,-55.1708,8569852306215.394,-5.517079731,35.880479707
2025-09-23 23:46:03.000,1.0,80.611,2.993,-55.1707,8592993009460.885,-5.517071273,35.880480859
2025-09-23 23:46:03.500,1.0,80.767,2.978,-55.1706,8592993019943.12,-5.517062852,35.880481987
2025-09-23 23:46:04.000,1.0,80.925,2.963,-55.1705,8569852337678.755,-5.517054469,35.880483091
2025-09-23 23:46:04.500,1.0,81.084,2.949,-55.1705,8524637341146.418,-5.517046124,35.880484171
2025-09-23 23:46:05.000,1.0,81.246,2.934,-55.1704,8458915231336.451,-5.517037817,35.880485227
2025-09-23 23:46:05.500,1.0,81.409,2.919,-55.1703,8374301786778.316,-5.517029548,35.880486259
2025-09-23 23:46:06.000,1.0,81.574,2.905,-55.1702,8272348710332.437,-5.517021317,35.880487266
2025-09-23 23:46:06.500,1.0,81.741,2.891,-55.1701,8154544264963.812,-5.517013123,35.88048825
2025-09-23 23:46:07.000,1.0,81.911,2.876,-55.17,8022314041249.474,-5.517004966,35.880489209
2025-09-23 23:46:07.500,1.0,82.081,2.862,-55.17,7877021845330.777,-5.516996846,35.880490144
2025-09-23 23:46:08.000,1.0,82.254,2.848,-55.1699,7719970696496.338,-5.516988762,35.880491055
2025-09-23 23:46:08.500,1.0,82.428,2.835,-55.1698,7552403924049.542,-5.516980714,35.880491942
2025-09-23 23:46:09.000,1.0,82.604,2.821,-55.1697,7375506353575.195,-5.516972702,35.880492805
2025-09-23 23:46:09.500,1.0,82.781,2.808,-55.1696,7190405573172.12,-5.516964725,35.880493644
2025-09-23 23:46:10.000,1.0,82.959,2.795,-55.1696,6998173270661.91,-5.516956783,35.880494459
2025-09-23 23:46:10.500,1.0,83.138,2.782,-55.1695,6799826633217.835,-5.516948874,35.880495251
2025-09-23 23:46:11.000,1.0,83.319,2.77,-55.1694,6596329801281.537,-5.516940999,35.880496018
2025-09-23 23:46:11.500,1.0,83.499,2.757,-55.1693,6388595369048.296,-5.516933156,35.880496763
2025-09-23 23:46:12.000,1.0,83.68,2.745,-55.1693,6177485924203.69,-5.516925344,35.880497484
2025-09-23 23:46:12.500,1.0,83.862,2.734,-55.1692,5963815619985.278,-5.516917564,35.880498182
2025-09-23 23:46:13.000,1.0,84.043,2.723,-55.1691,5748351773021.973,-5.516909814,35.880498857
2025-09-23 23:46:13.500,1.0,84.224,2.712,-55.169,5531816480771.027,-5.516902093,35.88049951
2025-09-23 23:46:14.000,1.0,84.405,2.701,-55.1689,5314888252727.616,-5.5168944,35.880500141
2025-09-23 23:46:14.500,1.0,84.585,2.691,-55.1689,5098203649924.877,-5.516886734,35.880500749
2025-09-23 23:46:15.000,1.0,84.765,2.681,-55.1688,4882358927572.81,-5.516879095,35.880501336
2025-09-23 23:46:15.500,1.0,84.944,2.672,-55.1687,4667911676002.4795,-5.516871481,35.880501901
2025-09-23 23:46:16.000,1.0,85.122,2.663,-55.1686,4455382455387.689,-5.516863891,35.880502445
2025-09-23 23:46:16.500,1.0,85.299,2.654,-55.1686,4245256420009.49,-5.516856324,35.880502968
2025-09-23 23:46:17.000,1.0,85.475,2.646,-55.1685,4037984928109.7417,-5.516848779,35.880503471
2025-09-23 23:46:17.500,1.0,85.65,2.638,-55.1684,3833987133648.5234,-5.516841256,35.880503953
2025-09-23 23:46:18.000,1.0,85.824,2.631,-55.1683,3633651556536.5103,-5.516833752,35.880504416
2025-09-23 23:46:18.500,1.0,85.996,2.624,-55.1683,3437337628157.78,-5.516826267,35.880504859
2025-09-23 23:46:19.000,1.0,86.167,2.618,-55.1682,3245377209230.8496,-5.5168188,35.880505282
2025-09-23 23:46:19.500,1.0,86.336,2.611,-55.1681,3058076077276.5205,-5.516811349,35.880505687
2025-09-23 23:46:20.000,1.0,86.504,2.606,-55.168,2875715381170.226,-5.516803914,35.880506072
2025-09-23 23:46:20.500,1.0,86.67,2.601,-55.168,2698553060454.5522,-5.516796493,35.88050644
2025-09-23 23:46:21.000,1.0,86.835,2.596,-55.1679,2526825227274.4814,-5.516789086,35.880506789
2025-09-23 23:46:21.500,1.0,86.997,2.591,-55.1678,2360747508974.0635,-5.516781691,35.88050712
2025-09-23 23:46:22.000,1.0,87.158,2.587,-55.1677,2200516349558.892,-5.516774307,35.880507434
2025-09-23 23:46:22.500,1.0,87.318,2.583,-55.1677,2046310268384.2595,-5.516766933,35.880507731
2025-09-23 23:46:23.000,1.0,87.475,2.58,-55.1676,1898291074574.5112,-5.516759568,35.88050801
2025-09-23 23:46:23.500,1.0,87.631,2.577,-55.1675,1756605035815.2095,-5.516752211,35.880508273
2025-09-23 23:46:24.000,1.0,87.784,2.574,-55.1674,1621384000286.6104,-5.516744862,35.88050852
2025-09-23 23:46:24.500,1.0,87.936,2.572,-55.1674,1492746470624.9973,-5.51673752,35.88050875
2025-09-23 23:46:25.000,1.0,88.086,2.57,-55.1673,1370798628907.9404,-5.516730182,35.880508964
2025-09-23 23:46:25.500,1.0,88.235,2.568,-55.1672,1255635311760.9434,-5.51672285,35.880509162
2025-09-23 23:46:26.000,1.0,88.382,2.567,-55.1672,1147340934776.5588,-5.516715522,35.880509345
2025-09-23 23:46:26.500,1.0,88.527,2.565,-55.1671,1045990365523.2866,-5.516708197,35.880509513
2025-09-23 23:46:27.000,1.0,88.671,2.564,-55.167,951649744500.7823,-5.516700875,35.880509666
2025-09-23 23:46:27.500,1.0,88.813,2.564,-55.1669,864377253470.5199,-5.516693556,35.880509803
2025-09-23 23:46:28.000,1.0,88.954,2.563,-55.1669,784223830657.4188,-5.516686237,35.880509926
2025-09-23 23:46:28.500,1.0,89.093,2.562,-55.1668,711233832378.5142,-5.51667892,35.880510035
2025-09-23 23:46:29.000,1.0,89.231,2.562,-55.1667,645445640709.872,-5.516671604,35.880510128
2025-09-23 23:46:29.500,1.0,89.368,2.562,-55.1666,586892216853.0773,-5.516664288,35.880510208
2025-09-23 23:46:30.000,1.0,89.504,2.562,-55.1666,535601599908.1279,-5.516656972,35.880510273
2025-09-23 23:46:30.500,1.0,89.639,2.562,-55.1665,491597350800.8875,-5.516649655,35.880510325
2025-09-23 23:46:31.000,1.0,89.772,2.562,-55.1664,454898941150.78,-5.516642338,35.880510362
2025-09-23 23:46:31.500,1.0,89.904,2.562,-55.1663,425522086898.5824,-5.51663502,35.880510386
2025-09-23 23:46:32.000,1.0,90.035,2.563,-55.1663,403479026545.3868,-5.516627701,35.880510395
2025-09-23 23:46:32.500,1.0,90.164,2.563,-55.1662,388778743882.4984,-5.516620382,35.880510392
2025-09-23 23:46:33.000,1.0,90.293,2.563,-55.1661,381427135118.616,-5.516613061,35.880510375
2025-09-23 23:46:33.500,1.0,90.421,2.564,-55.1661,381427120335.5312,-5.516605739,35.880510344
2025-09-23 23:46:34.000,1.0,90.548,2.564,-55.166,388778699227.2132,-5.516598417,35.880510301
2025-09-23 23:46:34.500,1.0,90.674,2.564,-55.1659,403478951099.9219,-5.516591094,35.880510244
2025-09-23 23:46:35.000,1.0,90.799,2.564,-55.1658,425521979133.3528,-5.51658377,35.880510174
2025-09-23 23:46:35.500,1.0,90.923,2.564,-55.1658,454898798925.1725,-5.516576446,35.880510092
2025-09-23 23:46:36.000,1.0,91.047,2.564,-55.1657,491597171364.0859,-5.516569122,35.880509996
2025-09-23 23:46:36.500,1.0,91.17,2.564,-55.1656,535601379900.2026,-5.516561798,35.880509888
2025-09-23 23:46:37.000,1.0,91.293,2.564,-55.1655,586891952306.3579,-5.516554475,35.880509766
2025-09-23 23:46:37.500,1.0,91.415,2.563,-55.1655,645445327050.6317,-5.516547153,35.880509632
2025-09-23 23:46:38.000,1.0,91.537,2.563,-55.1654,711233464428.9923,-5.516539832,35.880509486
2025-09-23 23:46:38.500,1.0,91.659,2.562,-55.1653,784223402638.2196,-5.516532514,35.880509327
2025-09-23 23:46:39.000,1.0,91.78,2.561,-55.1653,864376759003.4246,-5.516525199,35.880509155
2025-09-23 23:46:39.500,1.0,91.901,2.56,-55.1652,951649176612.0194,-5.516517886,35.880508971
2025-09-23 23:46:40.000,1.0,92.022,2.558,-55.1651,1045989716647.3076,-5.516510578,35.880508774
2025-09-23 23:46:40.500,1.0,92.143,2.557,-55.165,1147340196760.3738,-5.516503274,35.880508565
2025-09-23 23:46:41.000,1.0,92.263,2.555,-55.165,1255634475869.072,-5.516495976,35.880508344
2025-09-23 23:46:41.500,1.0,92.383,2.553,-55.1649,1370797685828.0425,-5.516488683,35.880508111
2025-09-23 23:46:42.000,1.0,92.504,2.551,-55.1648,1492745410474.2463,-5.516481397,35.880507865
2025-09-23 23:46:42.500,1.0,92.624,2.548,-55.1647,1621382812618.8835,-5.516474119,35.880507607
2025-09-23 23:46:43.000,1.0,92.745,2.545,-55.1647,1756603709629.1663,-5.516466849,35.880507337
2025-09-23 23:46:43.500,1.0,92.866,2.542,-55.1646,1898289598322.6416,-5.516459589,35.880507055
2025-09-23 23:46:44.000,1.0,92.987,2.538,-55.1645,2046308629982.9849,-5.516452338,35.880506761
2025-09-23 23:46:44.500,1.0,93.109,2.534,-55.1645,2200514536399.806,-5.516445099,35.880506455
2025-09-23 23:46:45.000,1.0,93.232,2.53,-55.1644,2360745507936.405,-5.516437871,35.880506137
2025-09-23 23:46:45.500,1.0,93.355,2.526,-55.1643,2526823024738.932,-5.516430656,35.880505807
2025-09-23 23:46:46.000,1.0,93.48,2.521,-55.1642,2698550642318.467,-5.516423456,35.880505465
2025-09-23 23:46:46.500,1.0,93.605,2.516,-55.1642,2875712732864.3853,-5.516416269,35.880505111
2025-09-23 23:46:47.000,1.0,93.731,2.51,-55.1641,3058073183783.5254,-5.516409099,35.880504745
2025-09-23 23:46:47.500,1.0,93.859,2.505,-55.164,3245374055105.2603,-5.516401945,35.880504367
2025-09-23 23:46:48.000,1.0,93.988,2.499,-55.1639,3437334197548.1177,-5.516394809,35.880503977
2025-09-23 23:46:48.500,1.0,94.117,2.492,-55.1639,3633647833209.237,-5.516387692,35.880503575
2025-09-23 23:46:49.000,1.0,94.249,2.485,-55.1638,3833983101014.115,-5.516380594,35.880503161
2025-09-23 23:46:49.500,1.0,94.381,2.478,-55.1637,4037980569250.9946,-5.516373517,35.880502735
2025-09-23 23:46:50.000,1.0,94.515,2.471,-55.1637,4245251717712.156,-5.516366462,35.880502297
2025-09-23 23:46:50.500,1.0,94.65,2.463,-55.1636,4455377392173.6045,-5.516359429,35.880501847
2025-09-23 23:46:51.000,1.0,94.786,2.455,-55.1635,4667906234165.286,-5.51635242,35.880501385
2025-09-23 23:46:51.500,1.0,94.924,2.447,-55.1635,4882353089216.423,-5.516345436,35.880500911
2025-09-23 23:46:52.000,1.0,95.063,2.438,-55.1634,5098197397004.8125,-5.516338477,35.880500425
2025-09-23 23:46:52.500,1.0,95.204,2.429,-55.1633,5314881567095.341,-5.516331544,35.880499927
2025-09-23 23:46:53.000,1.0,95.346,2.42,-55.1632,5531809344221.445,-5.516324638,35.880499418
2025-09-23 23:46:53.500,1.0,95.489,2.411,-55.1632,5748344167344.191,-5.51631776,35.880498896
2025-09-23 23:46:54.000,1.0,95.634,2.401,-55.1631,5963807527016.798,-5.516310911,35.880498363
2025-09-23 23:46:54.500,1.0,95.781,2.391,-55.163,6177477325888.149,-5.516304091,35.880497818
2025-09-23 23:46:55.000,1.0,95.929,2.381,-55.163,6388586247496.911,-5.516297302,35.880497261
2025-09-23 23:46:55.500,1.0,96.079,2.371,-55.1629,6596320138838.376,-5.516290544,35.880496692
2025-09-23 23:46:56.000,1.0,96.23,2.36,-55.1628,6799816412529.058,-5.516283817,35.880496112
2025-09-23 23:46:56.500,1.0,96.384,2.349,-55.1628,6998162474749.109,-5.516277123,35.88049552
2025-09-23 23:46:57.000,1.0,96.538,2.338,-55.1627,7190394185509.889,-5.516270461,35.880494916
2025-09-23 23:46:57.500,1.0,96.695,2.327,-55.1626,7375494358173.064,-5.516263832,35.8804943
2025-09-23 23:46:58.000,1.0,96.853,2.316,-55.1626,7552391305538.394,-5.516257238,35.880493673
2025-09-23 23:46:58.500,1.0,97.013,2.305,-55.1625,7719957440219.432,-5.516250677,35.880493034
2025-09-23 23:46:59.000,1.0,97.175,2.293,-55.1624,7877007937439.496,-5.516244151,35.880492384
2025-09-23 23:46:59.500,1.0,97.338,2.282,-55.1624,8022299468803.902,-5.51623766,35.880491722
2025-09-23 23:47:00.000,1.0,97.503,2.27,-55.1623,8154529016038.261,-5.516231204,35.880491048
2025-09-23 23:47:00.500,1.0,97.669,2.259,-55.1622,8272332774125.992,-5.516224784,35.880490363
2025-09-23 23:47:01.000,1.0,97.837,2.247,-55.1622,8374285153730.52,-5.516218399,35.880489666
2025-09-23 23:47:01.500,1.0,98.006,2.235,-55.1621,8458897893248.184,-5.516212051,35.880488958
2025-09-23 23:47:02.000,1.0,98.176,2.224,-55.1621,8524619291306.073,-5.516205738,35.880488239
2025-09-23 23:47:02.500,1.0,98.347,2.212,-55.162,8569833570993.741,-5.516199461,35.880487508
2025-09-23 23:47:03.000,1.0,98.52,2.2,-55.1619,8592973533076.755,-5.51619322,35.880486766
2025-09-23 23:47:03.500,1.0,98.694,2.188,-55.1619,8592972800974.732,-5.516187016,35.880486013
2025-09-23 23:47:04.000,1.0,98.869,2.177,-55.1618,8569831376717.04,-5.516180847,35.880485249
2025-09-23 23:47:04.500,1.0,99.046,2.165,-55.1617,8524615640948.341,-5.516174715,35.880484474
2025-09-23 23:47:05.000,1.0,99.223,2.153,-55.1617,8458892796983.962,-5.516168618,35.880483687
2025-09-23 23:47:05.500,1.0,99.401,2.142,-55.1616,8374278625842.887,-5.516162558,35.88048289
2025-09-23 23:47:06.000,1.0,99.581,2.13,-55.1616,8272324833045.16,-5.516156533,35.880482082
2025-09-23 23:47:06.500,1.0,99.761,2.119,-55.1615,8154519684391.005,-5.516150543,35.880481263
2025-09-23 23:47:07.000,1.0,99.942,2.108,-55.1614,8022288773473.704,-5.516144589,35.880480433
2025-09-23 23:47:07.500,1.0,100.124,2.096,-55.1614,7876995909637.195,-5.516138671,35.880479592
2025-09-23 23:47:08.000,1.0,100.307,2.085,-55.1613,7719944115564.221,-5.516132787,35.880478741
2025-09-23 23:47:08.500,1.0,100.49,2.074,-55.1613,7552376724148.895,-5.516126938,35.880477879
2025-09-23 23:47:09.000,1.0,100.674,2.063,-55.1612,7375478564768.223,-5.516121124,35.880477007
2025-09-23 23:47:09.500,1.0,100.858,2.052,-55.1612,7190377229519.379,-5.516115344,35.880476124
2025-09-23 23:47:10.000,1.0,101.043,2.042,-55.1611,6998144410432.915,-5.516109598,35.880475231
2025-09-23 23:47:10.500,1.0,101.228,2.031,-55.161,6799797299105.854,-5.516103885,35.880474328
2025-09-23 23:47:11.000,1.0,101.414,2.02,-55.161,6596300040622.289,-5.516098206,35.880473414
2025-09-23 23:47:11.500,1.0,101.599,2.01,-55.1609,6388565234042.22,-5.516092561,35.880472491
2025-09-23 23:47:12.000,1.0,101.785,2.0,-55.1609,6177455472141.437,-5.516086948,35.880471557
2025-09-23 23:47:12.500,1.0,101.971,1.99,-55.1608,5963784913476.015,-5.516081367,35.880470614
2025-09-23 23:47:13.000,1.0,102.157,1.979,-55.1608,5748320880224.082,-5.516075819,35.880469661
2025-09-23 23:47:13.500,1.0,102.343,1.969,-55.1607,5531785475624.706,-5.516070302,35.880468698
2025-09-23 23:47:14.000,1.0,102.528,1.96,-55.1606,5314857215188.865,-5.516064817,35.880467726
2025-09-23 23:47:14.500,1.0,102.714,1.95,-55.1606,5098172666200.327,-5.516059364,35.880466744
2025-09-23 23:47:15.000,1.0,102.899,1.94,-55.1605,4882328090354.76,-5.516053941,35.880465752
2025-09-23 23:47:15.500,1.0,103.084,1.931,-55.1605,4667881084703.507,-5.516048548,35.880464752
2025-09-23 23:47:16.000,1.0,103.268,1.922,-55.1604,4455352216374.127,-5.516043186,35.880463742
2025-09-23 23:47:16.500,1.0,103.451,1.912,-55.1604,4245226646833.0073,-5.516037854,35.880462723
2025-09-23 23:47:17.000,1.0,103.634,1.903,-55.1603,4037955741736.229,-5.516032551,35.880461696
2025-09-23 23:47:17.500,1.0,103.816,1.894,-55.1603,3833958662683.4126,-5.516027277,35.880460659
2025-09-23 23:47:18.000,1.0,103.998,1.886,-55.1602,3633623937445.624,-5.516022032,35.880459614
2025-09-23 23:47:18.500,1.0,104.178,1.877,-55.1602,3437311005482.716,-5.516016815,35.88045856
2025-09-23 23:47:19.000,1.0,104.357,1.868,-55.1601,3245351735797.8823,-5.516011626,35.880457498
2025-09-23 23:47:19.500,1.0,104.535,1.86,-55.1601,3058051914397.91,-5.516006465,35.880456428
2025-09-23 23:47:20.000,1.0,104.711,1.852,-55.16,2875692698836.7837,-5.51600133,35.880455349
2025-09-23 23:47:20.500,1.0,104.886,1.843,-55.16,2698532037518.2295,-5.515996223,35.880454263
2025-09-23 23:47:21.000,1.0,105.059,1.835,-55.1599,2526806051619.704,-5.515991142,35.880453168
2025-09-23 23:47:21.500,1.0,105.23,1.828,-55.1599,2360730377676.443,-5.515986086,35.880452066
2025-09-23 23:47:22.000,1.0,105.398,1.82,-55.1598,2200501469029.8945,-5.515981057,35.880450957
2025-09-23 23:47:22.500,1.0,105.565,1.812,-55.1598,2046297854500.336,-5.515976052,35.88044984
2025-09-23 23:47:23.000,1.0,105.729,1.805,-55.1597,1898281352789.126,-5.515971071,35.880448716
2025-09-23 23:47:23.500,1.0,105.891,1.798,-55.1597,1756598241252.1223,-5.515966115,35.880447585
2025-09-23 23:47:24.000,1.0,106.049,1.791,-55.1596,1621380377812.7114,-5.515961182,35.880446447
